Data/Hora,Temp_Ref,Temp_Interna,Temp_Ambiente,Valor_Acionamento(PID)
2023-06-15 19:54:02,55.0,40.06,24.55,0
2023-06-15 19:54:04,55.0,40.31,24.51,0
2023-06-15 19:54:06,55.0,40.56,24.51,0
2023-06-15 19:54:08,55.0,40.75,24.51,0
2023-06-15 19:54:10,55.0,41.0,24.51,0
2023-06-15 19:54:12,55.0,41.25,24.5,100.0
2023-06-15 19:54:14,55.0,41.44,24.51,100.0
2023-06-15 19:54:16,55.0,41.69,24.51,100.0
2023-06-15 19:54:18,55.0,41.88,24.51,100.0
2023-06-15 19:54:20,55.0,42.06,24.5,100.0
2023-06-15 19:54:22,55.0,42.31,24.5,100.0
2023-06-15 19:54:24,55.0,42.5,24.5,100.0
2023-06-15 19:54:26,55.0,42.69,24.51,100.0
2023-06-15 19:54:28,55.0,42.88,24.51,100.0
2023-06-15 19:54:30,55.0,43.06,24.51,100.0
2023-06-15 19:54:32,55.0,43.31,24.5,100.0
2023-06-15 19:54:34,55.0,43.5,24.51,100.0
2023-06-15 19:54:36,55.0,43.69,24.51,100.0
2023-06-15 19:54:38,55.0,43.94,24.49,100.0
2023-06-15 19:54:40,55.0,44.12,24.49,100.0
